dataset,file_name,source,file_type,compression,encoding,language_hint,dataset_type,classification_confidence,n_columns,estimated_records,records_sampled,text_length_avg,encoding_quality,dominant_script,mixed_language,code_switching,romanized,errors,relative_path
10062.txt,10062.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,56.0,1.0,Devanagari,False,False,False,0,10062.txt
10064.txt,10064.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,248.0,1.0,Devanagari,False,False,False,0,10064.txt
10065.txt,10065.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,6,3,98.67,1.0,Devanagari,True,True,False,0,10065.txt
10066.txt,10066.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,21,8,134.25,1.0,Devanagari,False,False,False,0,10066.txt
10068.txt,10068.txt,unknown,txt,none,utf-8,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,10068.txt
10069.txt,10069.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,219.0,1.0,Devanagari,False,False,False,0,10069.txt
1007.txt,1007.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,141,54,139.41,1.0,Devanagari,False,False,False,0,1007.txt
10070.txt,10070.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,123.0,1.0,Devanagari,False,False,False,0,10070.txt
10071.txt,10071.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,4,2,96.5,1.0,Devanagari,False,False,False,0,10071.txt
10072.txt,10072.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,1254.0,1.0,Devanagari,False,False,False,0,10072.txt
10073.txt,10073.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,37.0,1.0,Devanagari,False,False,False,0,10073.txt
10074.txt,10074.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,58.0,1.0,Devanagari,False,False,False,0,10074.txt
10075.txt,10075.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,52.0,1.0,Devanagari,False,False,False,0,10075.txt
10076.txt,10076.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,428.0,1.0,Devanagari,False,False,False,0,10076.txt
10077.txt,10077.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,9,4,112.5,1.0,Devanagari,False,False,False,0,10077.txt
10078.txt,10078.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,334.0,1.0,Devanagari,False,False,False,0,10078.txt
10079.txt,10079.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,213.0,1.0,Devanagari,False,False,False,0,10079.txt
1008.txt,1008.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,95.0,1.0,Devanagari,False,False,False,0,1008.txt
10080.txt,10080.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,161.0,1.0,Devanagari,False,False,False,0,10080.txt
10082.txt,10082.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,23,13,135.54,1.0,Devanagari,False,False,False,0,10082.txt
10083.txt,10083.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,128.0,1.0,Devanagari,False,False,False,0,10083.txt
10084.txt,10084.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,54.0,1.0,Devanagari,False,False,False,0,10084.txt
10089.txt,10089.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,107,40,282.8,1.0,Devanagari,False,False,False,0,10089.txt
1009.txt,1009.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,1,1,217.0,1.0,Devanagari,True,True,False,0,1009.txt
10090.txt,10090.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,147.0,1.0,Devanagari,False,False,False,0,10090.txt
10091.txt,10091.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,237.0,1.0,Devanagari,False,False,False,0,10091.txt
10092.txt,10092.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,230.0,1.0,Devanagari,False,False,False,0,10092.txt
10093.txt,10093.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,13,5,310.8,1.0,Devanagari,False,False,False,0,10093.txt
10094.txt,10094.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,183.0,1.0,Devanagari,False,False,False,0,10094.txt
10095.txt,10095.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,332.5,1.0,Devanagari,False,False,False,0,10095.txt
10097.txt,10097.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,100.0,1.0,Devanagari,False,False,False,0,10097.txt
10098.txt,10098.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,272.0,1.0,Devanagari,False,False,False,0,10098.txt
10099.txt,10099.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,8,3,131.67,1.0,Devanagari,False,False,False,0,10099.txt
101.txt,101.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,59.0,1.0,Devanagari,False,False,False,0,101.txt
1010.txt,1010.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,75.67,1.0,Devanagari,False,False,False,0,1010.txt
10100.txt,10100.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,9,4,129.25,1.0,Devanagari,False,False,False,0,10100.txt
10101.txt,10101.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,258.33,1.0,Devanagari,False,False,False,0,10101.txt
10104.txt,10104.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,66.0,1.0,Devanagari,False,False,False,0,10104.txt
10106.txt,10106.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,406,147,59.65,1.0,Devanagari,False,False,False,0,10106.txt
10107.txt,10107.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,107.0,1.0,Devanagari,False,False,False,0,10107.txt
10108.txt,10108.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,86.0,1.0,Devanagari,False,False,False,0,10108.txt
1011.txt,1011.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,13,5,281.8,1.0,Devanagari,False,False,False,0,1011.txt
10111.txt,10111.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,81.0,1.0,Devanagari,False,False,False,0,10111.txt
10114.txt,10114.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,10114.txt
10116.txt,10116.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,309.5,1.0,Devanagari,False,False,False,0,10116.txt
10117.txt,10117.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,52.0,1.0,Devanagari,False,False,False,0,10117.txt
10118.txt,10118.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,670.5,1.0,Devanagari,False,False,False,0,10118.txt
10119.txt,10119.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,21,8,485.38,1.0,Devanagari,False,False,False,0,10119.txt
1012.txt,1012.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,110.0,1.0,Devanagari,False,False,False,0,1012.txt
10120.txt,10120.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,444.0,1.0,Devanagari,False,False,False,0,10120.txt
10122.txt,10122.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,107.25,1.0,Devanagari,False,False,False,0,10122.txt
10125.txt,10125.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,72.0,1.0,Devanagari,False,False,False,0,10125.txt
10127.txt,10127.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,449.0,1.0,Devanagari,False,False,False,0,10127.txt
10128.txt,10128.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,13,5,196.4,1.0,Devanagari,False,False,False,0,10128.txt
10129.txt,10129.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,61.0,1.0,Devanagari,False,False,False,0,10129.txt
1013.txt,1013.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,1013.txt
10130.txt,10130.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,259.33,1.0,Devanagari,False,False,False,0,10130.txt
10131.txt,10131.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,169.0,1.0,Devanagari,False,False,False,0,10131.txt
10132.txt,10132.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,8,3,133.67,1.0,Devanagari,False,False,False,0,10132.txt
10133.txt,10133.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,230.0,1.0,Devanagari,False,False,False,0,10133.txt
10136.txt,10136.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,147.0,1.0,Devanagari,False,False,False,0,10136.txt
10137.txt,10137.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,100.0,1.0,Devanagari,False,False,False,0,10137.txt
10138.txt,10138.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,120.0,1.0,Devanagari,False,False,False,0,10138.txt
10139.txt,10139.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,578.0,1.0,Devanagari,False,False,False,0,10139.txt
1014.txt,1014.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,15,6,237.17,1.0,Devanagari,False,False,False,0,1014.txt
10140.txt,10140.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,101.0,1.0,Devanagari,False,False,False,0,10140.txt
10142.txt,10142.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,248.75,1.0,Devanagari,False,False,False,0,10142.txt
10143.txt,10143.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,71.33,1.0,Devanagari,False,True,False,0,10143.txt
10144.txt,10144.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,98.0,1.0,Devanagari,False,False,False,0,10144.txt
10145.txt,10145.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,133.0,1.0,Devanagari,False,False,False,0,10145.txt
10146.txt,10146.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,10146.txt
10147.txt,10147.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,108.0,1.0,Devanagari,False,False,False,0,10147.txt
10148.txt,10148.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,228.0,1.0,Devanagari,False,False,False,0,10148.txt
10149.txt,10149.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,232.33,1.0,Devanagari,False,False,False,0,10149.txt
10150.txt,10150.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,343.67,1.0,Devanagari,False,False,False,0,10150.txt
10151.txt,10151.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,52,20,224.9,1.0,Devanagari,False,False,False,0,10151.txt
10152.txt,10152.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,13,5,75.4,1.0,Devanagari,False,False,False,0,10152.txt
10153.txt,10153.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,4,2,96.5,1.0,Devanagari,False,False,False,0,10153.txt
10154.txt,10154.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,59,22,173.55,1.0,Devanagari,False,False,False,0,10154.txt
10155.txt,10155.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,698.0,1.0,Devanagari,False,False,False,0,10155.txt
10156.txt,10156.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,13,5,493.2,1.0,Devanagari,False,False,False,0,10156.txt
1016.txt,1016.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,1016.txt
10161.txt,10161.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,95.5,1.0,Devanagari,False,False,False,0,10161.txt
10162.txt,10162.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,13,5,657.0,1.0,Devanagari,False,False,False,0,10162.txt
10163.txt,10163.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,4,2,94.5,1.0,Devanagari,False,False,False,0,10163.txt
10164.txt,10164.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,45,17,672.12,1.0,Devanagari,False,False,False,0,10164.txt
10165.txt,10165.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,20,8,262.5,1.0,Devanagari,False,False,False,0,10165.txt
10166.txt,10166.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,102.0,1.0,Devanagari,False,False,False,0,10166.txt
10167.txt,10167.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,287.0,1.0,Devanagari,False,False,False,0,10167.txt
1017.txt,1017.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,93,38,260.97,1.0,Devanagari,False,False,False,0,1017.txt
10170.txt,10170.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,475.0,1.0,Devanagari,False,False,False,0,10170.txt
10171.txt,10171.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,217.0,1.0,Devanagari,False,False,False,0,10171.txt
10172.txt,10172.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,302.0,1.0,Devanagari,False,False,False,0,10172.txt
10173.txt,10173.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,231.75,1.0,Devanagari,False,False,False,0,10173.txt
10174.txt,10174.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,440.0,1.0,Devanagari,False,False,False,0,10174.txt
10176.txt,10176.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,125.0,1.0,Devanagari,False,False,False,0,10176.txt
10177.txt,10177.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,120.0,1.0,Devanagari,False,False,False,0,10177.txt
10178.txt,10178.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,79.0,1.0,Devanagari,False,False,False,0,10178.txt
10179.txt,10179.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,10179.txt
1018.txt,1018.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,197.0,1.0,Devanagari,False,False,False,0,1018.txt
10180.txt,10180.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,52.0,1.0,Devanagari,False,False,False,0,10180.txt
10181.txt,10181.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,27,10,25.8,1.0,Devanagari,False,False,False,0,10181.txt
10183.txt,10183.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,407.5,1.0,Devanagari,False,False,False,0,10183.txt
10184.txt,10184.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,279.0,1.0,Devanagari,False,False,False,0,10184.txt
10185.txt,10185.txt,unknown,txt,none,utf-8,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,10185.txt
10186.txt,10186.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,210.0,1.0,Devanagari,False,False,False,0,10186.txt
10187.txt,10187.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,256.5,1.0,Devanagari,False,False,False,0,10187.txt
10188.txt,10188.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,249.0,1.0,Devanagari,False,False,False,0,10188.txt
10189.txt,10189.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,258.33,1.0,Devanagari,False,False,False,0,10189.txt
1019.txt,1019.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,52.0,1.0,Devanagari,False,False,False,0,1019.txt
10194.txt,10194.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,10194.txt
10195.txt,10195.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,8,3,227.67,1.0,Devanagari,False,False,False,0,10195.txt
10196.txt,10196.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,596.0,1.0,Devanagari,False,False,False,0,10196.txt
10197.txt,10197.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,239.0,1.0,Devanagari,False,False,False,0,10197.txt
10198.txt,10198.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,286.5,1.0,Devanagari,False,False,False,0,10198.txt
102.txt,102.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,33,14,151.64,1.0,Devanagari,False,True,False,0,102.txt
10200.txt,10200.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,28,11,356.73,1.0,Devanagari,False,False,False,0,10200.txt
10202.txt,10202.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,255.5,1.0,Devanagari,False,False,False,0,10202.txt
10203.txt,10203.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,55.0,1.0,Devanagari,False,False,False,0,10203.txt
10205.txt,10205.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,232.0,1.0,Devanagari,False,False,False,0,10205.txt
10208.txt,10208.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,59.0,1.0,Devanagari,False,False,False,0,10208.txt
1021.txt,1021.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,326.5,1.0,Devanagari,False,False,False,0,1021.txt
10210.txt,10210.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,75.0,1.0,Devanagari,False,False,False,0,10210.txt
10211.txt,10211.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,381.0,1.0,Devanagari,False,False,False,0,10211.txt
10213.txt,10213.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,276.0,1.0,Devanagari,False,False,False,0,10213.txt
10214.txt,10214.txt,unknown,txt,none,utf-8,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,10214.txt
10215.txt,10215.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,97.5,1.0,Devanagari,False,False,False,0,10215.txt
10216.txt,10216.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,1047.0,1.0,Devanagari,False,False,False,0,10216.txt
10223.txt,10223.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,51.0,1.0,Devanagari,False,False,False,0,10223.txt
10225.txt,10225.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,13,5,273.6,1.0,Devanagari,False,False,False,0,10225.txt
10226.txt,10226.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,66.0,1.0,Devanagari,False,False,False,0,10226.txt
10227.txt,10227.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,41.5,1.0,Devanagari,False,False,False,0,10227.txt
10228.txt,10228.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,111.33,1.0,Devanagari,False,False,False,0,10228.txt
10229.txt,10229.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,450.0,1.0,Devanagari,False,False,False,0,10229.txt
10230.txt,10230.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,202.67,1.0,Devanagari,False,False,False,0,10230.txt
10231.txt,10231.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,57.0,1.0,Devanagari,False,False,False,0,10231.txt
10233.txt,10233.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,58.0,1.0,Devanagari,False,False,False,0,10233.txt
10235.txt,10235.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,100.0,1.0,Devanagari,False,False,False,0,10235.txt
10236.txt,10236.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,133.0,1.0,Devanagari,False,False,False,0,10236.txt
10238.txt,10238.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,10238.txt
10239.txt,10239.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,13,5,274.2,1.0,Devanagari,False,False,False,0,10239.txt
1024.txt,1024.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,52,20,288.8,1.0,Devanagari,False,False,False,0,1024.txt
10241.txt,10241.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,208.0,1.0,Devanagari,False,False,False,0,10241.txt
10242.txt,10242.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,10,4,395.75,1.0,Devanagari,False,False,False,0,10242.txt
10243.txt,10243.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,23,9,174.0,1.0,Devanagari,False,False,False,0,10243.txt
10245.txt,10245.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,413.0,1.0,Devanagari,False,False,False,0,10245.txt
10246.txt,10246.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,137.5,1.0,Devanagari,False,False,False,0,10246.txt
10248.txt,10248.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,449.0,1.0,Devanagari,False,False,False,0,10248.txt
10249.txt,10249.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,16,6,1955.17,1.0,Devanagari,False,False,False,0,10249.txt
